"","Symbol","Subject","Time","Residuals","ProbeName","EntrezID"
"1","ZNF692",0.0767089412521552,0.635318143966144,0.287972914781701,"A_23_P170978","55657"
"2","HSPH1",0.0438580055724916,0.622264630075845,0.333877364351664,"A_23_P88119","10808"
"3","SLC2A1",0.192995788726081,0.621901396451874,0.185102814822044,"A_23_P571","6513"
"4","CYP4B1",0.19158693676502,0.61779930769548,0.1906137555395,"A_23_P114713","1580"
"5","ZNF143",0.0467879697233486,0.610834996734308,0.342377033542343,"A_24_P206736","7702"
"6","C11orf58",0.07478158432079,0.610493382209791,0.314725033469419,"A_24_P675386","10944"
"7","FAM84A",0.0322718231740897,0.609396734324353,0.358331442501557,"A_23_P306215","151354"
"8","KIAA2013",0.176923638608309,0.605607531882704,0.217468829508986,"A_23_P352358","90231"
"9","POLA1",0.103639903113722,0.60517416795742,0.291185928928858,"A_32_P1701","5422"
"10","ELL3",0.210581216898677,0.591173308826454,0.198245474274869,"A_24_P47988","80237"
"11","HSPA14",0.0621750956761065,0.58968133982012,0.348143564503773,"A_23_P63829","51182"
"12","HDHD2",0.182405671245188,0.583593572206502,0.23400075654831,"A_23_P153098","84064"
"13","ZNF395",0.076315542527768,0.566760585727881,0.356923871744351,"A_23_P146077","55893"
"14","MTURN",0.158784828819608,0.561592805964605,0.279622365215787,"A_32_P100439","222166"
"15","FAM209A",0.138322602564059,0.561313680080425,0.300363717355515,"A_24_P323941","200232"
"16","OVGP1",0.0961515453541385,0.700642759051523,0.203205695594338,"A_23_P103756","5016"
"17","RBM14",0.0615859921780102,0.564129053322044,0.374284954499945,"A_23_P150255","10432"
"18","ST7-AS1",0.0887024847436984,0.653753817009379,0.257543698246923,"A_32_P181297","93653"
"19","TTC32",0.205437706957175,0.567544093377585,0.22701819966524,"A_23_P119857","130502"
"20","ZBTB16",0.0414053684293961,0.63621234513518,0.322382286435424,"A_23_P104804","7704"
